,x,y,Region
-228.000000456_125.0,-228.000000456,125.0,midrange
-228.000000456_150.0,-228.000000456,150.0,midrange
-204.000000408_0.0,-204.000000408,0.0,midrange
-204.000000408_25.0,-204.000000408,25.0,midrange
-180.00000036_0.0,-180.00000036,0.0,midrange
-180.00000036_25.0,-180.00000036,25.0,midrange
-180.00000036_75.0,-180.00000036,75.0,midrange
-180.00000036_100.0,-180.00000036,100.0,midrange
-156.00000031200003_0.0,-156.00000031200003,0.0,midrange
-156.00000031200003_25.0,-156.00000031200003,25.0,midrange
-156.00000031200003_50.0,-156.00000031200003,50.0,midrange
-156.00000031200003_75.0,-156.00000031200003,75.0,midrange
-156.00000031200003_125.0,-156.00000031200003,125.0,midrange
-156.00000031200003_150.0,-156.00000031200003,150.0,midrange
-156.00000031200003_175.0,-156.00000031200003,175.0,midrange
-132.00000026400002_0.0,-132.00000026400002,0.0,midrange
-132.00000026400002_25.0,-132.00000026400002,25.0,midrange
-132.00000026400002_50.0,-132.00000026400002,50.0,midrange
-132.00000026400002_75.0,-132.00000026400002,75.0,midrange
-132.00000026400002_100.0,-132.00000026400002,100.0,midrange
-132.00000026400002_125.0,-132.00000026400002,125.0,midrange
-132.00000026400002_150.0,-132.00000026400002,150.0,midrange
-132.00000026400002_175.0,-132.00000026400002,175.0,midrange
-132.00000026400002_200.0,-132.00000026400002,200.0,midrange
-108.00000021600002_0.0,-108.00000021600002,0.0,midrange
-108.00000021600002_25.0,-108.00000021600002,25.0,midrange
-108.00000021600002_50.0,-108.00000021600002,50.0,midrange
-108.00000021600002_75.0,-108.00000021600002,75.0,midrange
-108.00000021600002_100.0,-108.00000021600002,100.0,midrange
-108.00000021600002_125.0,-108.00000021600002,125.0,midrange
-108.00000021600002_150.0,-108.00000021600002,150.0,midrange
-108.00000021600002_175.0,-108.00000021600002,175.0,midrange
-84.00000016800001_0.0,-84.00000016800001,0.0,midrange
-84.00000016800001_25.0,-84.00000016800001,25.0,midrange
-84.00000016800001_50.0,-84.00000016800001,50.0,midrange
-84.00000016800001_75.0,-84.00000016800001,75.0,midrange
-84.00000016800001_100.0,-84.00000016800001,100.0,midrange
-84.00000016800001_125.0,-84.00000016800001,125.0,midrange
-84.00000016800001_150.0,-84.00000016800001,150.0,midrange
-84.00000016800001_175.0,-84.00000016800001,175.0,midrange
-84.00000016800001_200.0,-84.00000016800001,200.0,midrange
-60.00000012000001_0.0,-60.00000012000001,0.0,midrange
-60.00000012000001_100.0,-60.00000012000001,100.0,midrange
-60.00000012000001_125.0,-60.00000012000001,125.0,midrange
-60.00000012000001_150.0,-60.00000012000001,150.0,midrange
-60.00000012000001_175.0,-60.00000012000001,175.0,midrange
-60.00000012000001_200.0,-60.00000012000001,200.0,midrange
-36.000000072000034_100.0,-36.000000072000034,100.0,midrange
-36.000000072000034_125.0,-36.000000072000034,125.0,midrange
-36.000000072000034_150.0,-36.000000072000034,150.0,midrange
-36.000000072000034_175.0,-36.000000072000034,175.0,midrange
-36.000000072000034_200.0,-36.000000072000034,200.0,midrange
-36.000000072000034_225.0,-36.000000072000034,225.0,midrange
-12.00000002400003_125.0,-12.00000002400003,125.0,midrange
-12.00000002400003_150.0,-12.00000002400003,150.0,midrange
-12.00000002400003_175.0,-12.00000002400003,175.0,midrange
-12.00000002400003_200.0,-12.00000002400003,200.0,midrange
-12.00000002400003_225.0,-12.00000002400003,225.0,midrange
12.000000023999974_125.0,12.000000023999974,125.0,midrange
12.000000023999974_150.0,12.000000023999974,150.0,midrange
12.000000023999974_175.0,12.000000023999974,175.0,midrange
12.000000023999974_200.0,12.000000023999974,200.0,midrange
