,Category,num shots
Steven_Adams,paint,690.0
Bam_Adebayo,paint,429.0
LaMarcus_Aldridge,midrange,1209.0
Jarrett_Allen,paint,511.0
Kadeem_Allen,downtown,136.0
Kyle_Anderson,paint,258.0
Giannis_Antetokounmpo,paint,1204.0
OG_Anunoby,downtown,370.0
Ryan_Arcidiacono,downtown,399.0
D.J._Augustin,downtown,659.0
Deandre_Ayton,midrange,793.0
Dwayne_Bacon,paint,255.0
Marvin_Bagley III,paint,650.0
Mo_Bamba,midrange,218.0
J.J._Barea,midrange,380.0
Harrison_Barnes,downtown,300.0
Will_Barton,paint,446.0
Keita_Bates-Diop,downtown,134.0
Nicolas_Batum,downtown,534.0
Bradley_Beal,midrange,1576.0
Malik_Beasley,downtown,715.0
Marco_Belinelli,midrange,672.0
DeAndre'_Bembry,paint,598.0
Patrick_Beverley,downtown,462.0
Khem_Birch,paint,123.0
Bismack_Biyombo,paint,142.0
Nemanja_Bjelica,downtown,545.0
Eric_Bledsoe,downtown,950.0
Bogdan_Bogdanovic,midrange,836.0
Jonah_Bolden,downtown,149.0
Devin_Booker,midrange,1202.0
Chris_Boucher,downtown,73.0
Tony_Bradley,Undefined,12.0
Mikal_Bridges,downtown,527.0
Miles_Bridges,downtown,470.0
Ryan_Broekhoff,downtown,117.0
Dillon_Brooks,midrange,117.0
Bruce_Brown,paint,296.0
Jaylen_Brown,downtown,764.0
Sterling_Brown,downtown,299.0
Troy_Brown Jr.,paint,230.0
Jalen_Brunson,midrange,553.0
Thomas_Bryant,paint,474.0
Deonte_Burton,midrange,80.0
Bruno_Caboclo,downtown,201.0
Kentavious_Caldwell-Pope,downtown,730.0
Clint_Capela,paint,668.0
Vince_Carter,downtown,449.0
Wendell_Carter Jr.,paint,335.0
Michael_Carter-Williams,paint,56.0
Alex_Caruso,midrange,170.0
Gary_Clark,downtown,147.0
Jordan_Clarkson,midrange,1122.0
John_Collins,paint,763.0
Zach_Collins,paint,378.0
Pat_Connaughton,downtown,335.0
Robert_Covington,downtown,239.0
Torrey_Craig,downtown,340.0
Stephen_Curry,downtown,1301.0
DeMar_DeRozan,midrange,1274.0
Matthew_Dellavedova,downtown,215.0
Donte_DiVincenzo,downtown,120.0
Hamidou_Diallo,paint,144.0
Gorgui_Dieng,midrange,343.0
Spencer_Dinwiddie,downtown,803.0
Luka_Doncic,downtown,1138.0
Damyean_Dotson,midrange,674.0
Goran_Dragic,midrange,425.0
Andre_Drummond,paint,898.0
Kris_Dunn,midrange,495.0
Joel_Embiid,midrange,1131.0
James_Ennis III,paint,70.0
Drew_Eubanks,Undefined,24.0
Jacob_Evans,midrange,52.0
Dante_Exum,paint,237.0
Cristiano_Felicio,paint,156.0
Terrance_Ferguson,downtown,416.0
Yogi_Ferrell,midrange,339.0
Dorian_Finney-Smith,downtown,462.0
Bryn_Forbes,midrange,775.0
Evan_Fournier,midrange,1041.0
De'Aaron_Fox,midrange,1092.0
Melvin_Frazier Jr.,Undefined,21.0
Langston_Galloway,downtown,564.0
Marc_Gasol,paint,180.0
Rudy_Gay,midrange,699.0
Harry_Giles III,midrange,313.0
Rudy_Gobert,paint,605.0
Aaron_Gordon,midrange,981.0
Eric_Gordon,downtown,925.0
Devonte'_Graham,downtown,206.0
Draymond_Green,downtown,401.0
Gerald_Green,downtown,561.0
JaMychal_Green,downtown,149.0
Blake_Griffin,paint,1298.0
Tim_Hardaway Jr.,midrange,261.0
James_Harden,downtown,1889.0
Montrezl_Harrell,paint,818.0
Gary_Harris,downtown,623.0
Joe_Harris,downtown,728.0
Tobias_Harris,midrange,378.0
Shaquille_Harrison,paint,407.0
Isaiah_Hartenstein,Undefined,35.0
Udonis_Haslem,Undefined,32.0
Gordon_Hayward,midrange,611.0
Juancho_Hernangomez,downtown,297.0
Willy_Hernangomez,paint,252.0
Buddy_Hield,midrange,1312.0
Nene_,paint,113.0
George_Hill,downtown,255.0
Aaron_Holiday,midrange,258.0
Jrue_Holiday,paint,1117.0
Rodney_Hood,midrange,212.0
Danuel_House Jr.,downtown,243.0
Kevin_Huerter,downtown,640.0
Chandler_Hutchison,paint,198.0
Serge_Ibaka,midrange,830.0
Ersan_Ilyasova,downtown,337.0
Joe_Ingles,downtown,776.0
Jonathan_Isaac,downtown,543.0
Wes_Iwundu,midrange,256.0
Frank_Jackson,downtown,423.0
Justin_Jackson,downtown,177.0
Reggie_Jackson,midrange,1022.0
Jaren_Jackson Jr.,paint,557.0
LeBron_James,midrange,1071.0
Amile_Jefferson,Undefined,14.0
Alize_Johnson,Undefined,14.0
James_Johnson,downtown,360.0
Tyler_Johnson,midrange,120.0
Nikola_Jokic,paint,1141.0
Derrick_Jones Jr.,paint,280.0
Luke_Kennard,midrange,507.0
Michael_Kidd-Gilchrist,paint,313.0
Maxi_Kleber,downtown,362.0
Brandon_Knight,midrange,208.0
Kevin_Knox II,midrange,894.0
Furkan_Korkmaz,downtown,231.0
Rodions_Kurucs,downtown,418.0
Kyle_Kuzma,downtown,1058.0
Zach_LaVine,midrange,1084.0
Skal_Labissiere,Undefined,14.0
Caris_LeVert,paint,471.0
TJ_Leaf,paint,164.0
Courtney_Lee,downtown,81.0
Damion_Lee,midrange,124.0
Alex_Len,paint,561.0
Damian_Lillard,downtown,1494.0
Kevon_Looney,paint,280.0
Brook_Lopez,downtown,772.0
Kevin_Love,downtown,260.0
Kyle_Lowry,downtown,710.0
Ian_Mahinmi,paint,85.0
Thon_Maker,downtown,127.0
Lauri_Markkanen,midrange,740.0
Patrick_McCaw,Undefined,50.0
CJ_McCollum,midrange,1219.0
Doug_McDermott,downtown,393.0
JaVale_McGee,paint,557.0
Jordan_McRae,midrange,121.0
Chimezie_Metu,paint,55.0
Khris_Middleton,midrange,1113.0
Darius_Miller,downtown,477.0
Malcolm_Miller,Undefined,25.0
Patty_Mills,midrange,646.0
Paul_Millsap,paint,629.0
Shake_Milton,downtown,86.0
Donovan_Mitchell,midrange,1502.0
Malik_Monk,downtown,572.0
E'Twaun_Moore,paint,511.0
Monte_Morris,midrange,684.0
Johnathan_Motley,paint,68.0
Jamal_Murray,midrange,1153.0
Dzanan_Musa,Undefined,22.0
Svi_Mykhailiuk,Undefined,8.0
Abdel_Nader,downtown,204.0
Larry_Nance Jr.,paint,417.0
Georges_Niang,downtown,175.0
Nerlens_Noel,paint,221.0
Frank_Ntilikina,midrange,273.0
Jusuf_Nurkic,paint,753.0
Royce_O'Neale,downtown,318.0
Semi_Ojeleye,paint,149.0
Jahlil_Okafor,paint,322.0
Elie_Okobo,downtown,287.0
Josh_Okogie,downtown,480.0
Victor_Oladipo,midrange,570.0
Kelly_Olynyk,downtown,542.0
Cedi_Osman,downtown,808.0
Kelly_Oubre Jr.,downtown,511.0
Theo_Pinson,downtown,70.0
Mason_Plumlee,paint,396.0
Jakob_Poeltl,paint,224.0
Otto_Porter Jr.,midrange,194.0
Dwight_Powell,paint,466.0
Norman_Powell,downtown,377.0
Austin_Rivers,downtown,373.0
Duncan_Robinson,Undefined,44.0
Jerome_Robinson,downtown,106.0
Mitchell_Robinson,paint,248.0
Rajon_Rondo,downtown,425.0
Terrence_Ross,midrange,1006.0
Domantas_Sabonis,paint,625.0
Dennis_Schroder,midrange,1086.0
Mike_Scott,downtown,182.0
Collin_Sexton,midrange,1175.0
Landry_Shamet,downtown,207.0
Pascal_Siakam,paint,882.0
Ben_Simmons,paint,902.0
Anfernee_Simons,downtown,61.0
Marcus_Smart,downtown,552.0
Zhaire_Smith,Undefined,32.0
Dennis_Smith Jr.,midrange,284.0
Edmond_Sumner,downtown,57.0
Caleb_Swanigan,Undefined,9.0
Jayson_Tatum,midrange,991.0
Jeff_Teague,paint,410.0
Daniel_Theis,midrange,236.0
Khyri_Thomas,downtown,67.0
Klay_Thompson,midrange,1372.0
Tristan_Thompson,paint,300.0
Karl-Anthony_Towns,paint,1234.0
Gary_Trent Jr.,Undefined,48.0
Allonzo_Trier,midrange,505.0
P.J._Tucker,downtown,487.0
Myles_Turner,midrange,744.0
Jonas_Valanciunas,paint,254.0
Fred_VanVleet,downtown,585.0
Jarred_Vanderbilt,Undefined,17.0
Nikola_Vucevic,midrange,1243.0
